Radius (AU)	X position (AU)	Y position (AU)	Time (Yr)
5.4552446	5.4552446	0.00000000	0.00000000
5.4552445	5.4552445	0.00028462829	0.00010000000
5.4552443	5.4552445	0.00056925659	0.00020000000
5.4552441	5.4552445	0.00085388488	0.00030000000
5.4552437	5.4552444	0.0011385132	0.00040000000
5.4552432	5.4552444	0.0014231415	0.00050000000
5.4552426	5.4552443	0.0017077697	0.00060000000
5.4552419	5.4552442	0.0019923980	0.00070000000
5.4552411	5.4552441	0.0022770263	0.00080000000
5.4552401	5.4552440	0.0025616546	0.00090000000
5.4552391	5.4552438	0.0028462828	0.0010000000
5.4552379	5.4552437	0.0031309111	0.0011000000
5.4552367	5.4552435	0.0034155393	0.0012000000
5.4552353	5.4552434	0.0037001676	0.0013000000
5.4552338	5.4552432	0.0039847958	0.0014000000
5.4552322	5.4552430	0.0042694240	0.0015000000
5.4552305	5.4552428	0.0045540522	0.0016000000
5.4552287	5.4552425	0.0048386804	0.0017000000
5.4552268	5.4552423	0.0051233086	0.0018000000
5.4552248	5.4552420	0.0054079368	0.0019000000
5.4552227	5.4552418	0.0056925650	0.0020000000
5.4552204	5.4552415	0.0059771931	0.0021000000
5.4552181	5.4552412	0.0062618213	0.0022000000
5.4552156	5.4552409	0.0065464494	0.0023000000
5.4552130	5.4552406	0.0068310775	0.0024000000
5.4552103	5.4552402	0.0071157056	0.0025000000
5.4552075	5.4552399	0.0074003336	0.0026000000
5.4552046	5.4552395	0.0076849617	0.0027000000
5.4552016	5.4552392	0.0079695897	0.0028000000
5.4551985	5.4552388	0.0082542177	0.0029000000
5.4551953	5.4552384	0.0085388457	0.0030000000
5.4551919	5.4552380	0.0088234737	0.0031000000
5.4551885	5.4552376	0.0091081016	0.0032000000
5.4551849	5.4552371	0.0093927296	0.0033000000
5.4551813	5.4552367	0.0096773575	0.0034000000
5.4551775	5.4552362	0.0099619854	0.0035000000
5.4551736	5.4552357	0.010246613	0.0036000000
5.4551696	5.4552352	0.010531241	0.0037000000
5.4551655	5.4552347	0.010815869	0.0038000000
5.4551613	5.4552342	0.011100497	0.0039000000
5.4551569	5.4552337	0.011385124	0.0040000000
5.4551525	5.4552331	0.011669752	0.0041000000
5.4551480	5.4552326	0.011954380	0.0042000000
5.4551433	5.4552320	0.012239007	0.0043000000
5.4551385	5.4552314	0.012523635	0.0044000000
5.4551337	5.4552308	0.012808263	0.0045000000
5.4551287	5.4552302	0.013092890	0.0046000000
5.4551236	5.4552296	0.013377518	0.0047000000
5.4551184	5.4552290	0.013662145	0.0048000000
5.4551131	5.4552283	0.013946773	0.0049000000
5.4551077	5.4552276	0.014231400	0.0050000000
5.4551021	5.4552270	0.014516028	0.0051000000
5.4550965	5.4552263	0.014800655	0.0052000000
5.4550907	5.4552256	0.015085282	0.0053000000
5.4550849	5.4552249	0.015369910	0.0054000000
5.4550789	5.4552241	0.015654537	0.0055000000
5.4550728	5.4552234	0.015939164	0.0056000000
5.4550666	5.4552226	0.016223791	0.0057000000
5.4550603	5.4552219	0.016508419	0.0058000000
5.4550539	5.4552211	0.016793046	0.0059000000
5.4550474	5.4552203	0.017077673	0.0060000000
5.4550408	5.4552195	0.017362300	0.0061000000
5.4550341	5.4552187	0.017646927	0.0062000000
5.4550272	5.4552178	0.017931554	0.0063000000
5.4550203	5.4552170	0.018216181	0.0064000000
5.4550132	5.4552161	0.018500807	0.0065000000
5.4550060	5.4552152	0.018785434	0.0066000000
5.4549987	5.4552143	0.019070061	0.0067000000
5.4549914	5.4552134	0.019354688	0.0068000000
5.4549839	5.4552125	0.019639314	0.0069000000
5.4549762	5.4552116	0.019923941	0.0070000000
5.4549685	5.4552107	0.020208568	0.0071000000
5.4549607	5.4552097	0.020493194	0.0072000000
5.4549528	5.4552087	0.020777821	0.0073000000
5.4549447	5.4552077	0.021062447	0.0074000000
5.4549366	5.4552068	0.021347073	0.0075000000
5.4549283	5.4552057	0.021631700	0.0076000000
5.4549199	5.4552047	0.021916326	0.0077000000
5.4549114	5.4552037	0.022200952	0.0078000000
5.4549028	5.4552026	0.022485578	0.0079000000
5.4548941	5.4552016	0.022770204	0.0080000000
5.4548853	5.4552005	0.023054831	0.0081000000
5.4548764	5.4551994	0.023339457	0.0082000000
5.4548674	5.4551983	0.023624082	0.0083000000
5.4548582	5.4551972	0.023908708	0.0084000000
5.4548490	5.4551961	0.024193334	0.0085000000
5.4548396	5.4551949	0.024477960	0.0086000000
5.4548301	5.4551938	0.024762586	0.0087000000
5.4548206	5.4551926	0.025047211	0.0088000000
5.4548109	5.4551914	0.025331837	0.0089000000
5.4548011	5.4551902	0.025616462	0.0090000000
5.4547912	5.4551890	0.025901088	0.0091000000
5.4547812	5.4551878	0.026185713	0.0092000000
5.4547710	5.4551866	0.026470339	0.0093000000
5.4547608	5.4551853	0.026754964	0.0094000000
5.4547505	5.4551841	0.027039589	0.0095000000
5.4547400	5.4551828	0.027324214	0.0096000000
5.4547294	5.4551815	0.027608839	0.0097000000
5.4547188	5.4551802	0.027893464	0.0098000000
5.4547080	5.4551789	0.028178089	0.0099000000
5.4546971	5.4551776	0.028462714	0.010000000
5.4546861	5.4551762	0.028747339	0.010100000
5.4546750	5.4551749	0.029031964	0.010200000
5.4546638	5.4551735	0.029316588	0.010300000
5.4546525	5.4551721	0.029601213	0.010400000
5.4546410	5.4551707	0.029885837	0.010500000
5.4546295	5.4551693	0.030170462	0.010600000
5.4546178	5.4551679	0.030455086	0.010700000
5.4546061	5.4551665	0.030739710	0.010800000
5.4545942	5.4551650	0.031024335	0.010900000
5.4545822	5.4551636	0.031308959	0.011000000
5.4545701	5.4551621	0.031593583	0.011100000
5.4545579	5.4551606	0.031878207	0.011200000
5.4545456	5.4551591	0.032162831	0.011300000
5.4545332	5.4551576	0.032447455	0.011400000
5.4545207	5.4551561	0.032732078	0.011500000
5.4545080	5.4551545	0.033016702	0.011600000
5.4544953	5.4551530	0.033301326	0.011700000
5.4544824	5.4551514	0.033585949	0.011800000
5.4544694	5.4551498	0.033870573	0.011900000
5.4544564	5.4551482	0.034155196	0.012000000
5.4544432	5.4551466	0.034439819	0.012100000
5.4544299	5.4551450	0.034724442	0.012200000
5.4544165	5.4551434	0.035009066	0.012300000
5.4544030	5.4551417	0.035293689	0.012400000
5.4543894	5.4551401	0.035578311	0.012500000
5.4543756	5.4551384	0.035862934	0.012600000
5.4543618	5.4551367	0.036147557	0.012700000
5.4543479	5.4551350	0.036432180	0.012800000
5.4543338	5.4551333	0.036716802	0.012900000
5.4543196	5.4551316	0.037001425	0.013000000
5.4543054	5.4551299	0.037286047	0.013100000
5.4542910	5.4551281	0.037570670	0.013200000
5.4542765	5.4551263	0.037855292	0.013300000
5.4542619	5.4551246	0.038139914	0.013400000
5.4542472	5.4551228	0.038424536	0.013500000
5.4542324	5.4551210	0.038709158	0.013600000
5.4542174	5.4551191	0.038993780	0.013700000
5.4542024	5.4551173	0.039278401	0.013800000
5.4541872	5.4551155	0.039563023	0.013900000
5.4541720	5.4551136	0.039847645	0.014000000
5.4541566	5.4551117	0.040132266	0.014100000
5.4541412	5.4551099	0.040416887	0.014200000
5.4541256	5.4551080	0.040701509	0.014300000
5.4541099	5.4551061	0.040986130	0.014400000
5.4540941	5.4551041	0.041270751	0.014500000
