Radius (AU)	X position (AU)	Y position (AU)	Time (Yr)
10.053534	10.053534	0.00000000	0.00000000
10.053534	10.053534	0.00021111503	0.00010000000
10.053534	10.053534	0.00042223005	0.00020000000
10.053533	10.053534	0.00063334508	0.00030000000
10.053532	10.053534	0.00084446010	0.00040000000
10.053531	10.053534	0.0010555751	0.00050000000
10.053530	10.053534	0.0012666902	0.00060000000
10.053528	10.053534	0.0014778052	0.00070000000
10.053527	10.053534	0.0016889202	0.00080000000
10.053525	10.053534	0.0019000352	0.00090000000
10.053523	10.053534	0.0021111502	0.0010000000
10.053520	10.053534	0.0023222653	0.0011000000
10.053518	10.053534	0.0025333803	0.0012000000
10.053515	10.053534	0.0027444953	0.0013000000
10.053512	10.053534	0.0029556103	0.0014000000
10.053508	10.053533	0.0031667253	0.0015000000
10.053505	10.053533	0.0033778404	0.0016000000
10.053501	10.053533	0.0035889554	0.0017000000
10.053497	10.053533	0.0038000704	0.0018000000
10.053493	10.053533	0.0040111854	0.0019000000
10.053489	10.053533	0.0042223004	0.0020000000
10.053484	10.053533	0.0044334154	0.0021000000
10.053479	10.053533	0.0046445304	0.0022000000
10.053474	10.053533	0.0048556454	0.0023000000
10.053469	10.053533	0.0050667604	0.0024000000
10.053463	10.053533	0.0052778754	0.0025000000
10.053457	10.053533	0.0054889904	0.0026000000
10.053451	10.053532	0.0057001054	0.0027000000
10.053445	10.053532	0.0059112204	0.0028000000
10.053438	10.053532	0.0061223354	0.0029000000
10.053432	10.053532	0.0063334504	0.0030000000
10.053425	10.053532	0.0065445654	0.0031000000
10.053418	10.053532	0.0067556804	0.0032000000
10.053410	10.053532	0.0069667954	0.0033000000
10.053403	10.053532	0.0071779104	0.0034000000
10.053395	10.053532	0.0073890253	0.0035000000
10.053387	10.053531	0.0076001403	0.0036000000
10.053378	10.053531	0.0078112553	0.0037000000
10.053370	10.053531	0.0080223703	0.0038000000
10.053361	10.053531	0.0082334852	0.0039000000
10.053352	10.053531	0.0084446002	0.0040000000
10.053343	10.053531	0.0086557151	0.0041000000
10.053334	10.053530	0.0088668301	0.0042000000
10.053324	10.053530	0.0090779450	0.0043000000
10.053314	10.053530	0.0092890600	0.0044000000
10.053304	10.053530	0.0095001749	0.0045000000
10.053294	10.053530	0.0097112899	0.0046000000
